"id","company_id","isin","name","type","sub_type","currency_id","board_id","ytm","duration","val_today","face_value","price","lot_size","coupon_period","coupon_percent","issue_size","acruedint","next_coupon","put_option","call_option","mat_date","created_at","updated_at","rating","rating_date"
"004acb1a-418c-4d9a-9f69-09aa3259c887","7707600245","RU000A107UB5","МГКЛ 1P5","fix","to_maturity","SUR","TQCB","25.4028","761","1.128387e+06","1000","93.38","1","91","20","500000","41.64","2026-05-26",NULL,NULL,"2029-02-20","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","BB","2025-11-21"
"004d79d4-4092-4ead-af36-e9f2179e2436","7707083893","RU000A1045F4","СберИОС493","fix","to_maturity","SUR","TQCB","17.1255","223","0","1000","90.8","1","1833","0.01","681514","0","2026-12-21",NULL,NULL,"2026-12-21","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","","2026-04-10"
"00799f9d-e031-425c-a009-88c205fae267","7707049388","RU000A0JWTN2","Ростел1P1R","fix","to_maturity","SUR","TQCB","12.8652","121","71463","1000","102.09","1","182","19.25","1.5e+07","31.64","2026-09-10",NULL,NULL,"2026-09-10","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","AAA","2026-04-27"
"007b4395-6b08-4be5-b798-157bc0b6b244","1655096633","RU000A105WZ4","ЛТрейд 1P7","fix","to_maturity","SUR","TQCB","25.5796","289","186163","916.8","93.44","1","30","14.5","150000","7.65","2026-05-20",NULL,NULL,"2028-02-09","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","BBB-","2025-06-05"
"00961ffc-5995-4bc7-8ab8-c78b705f6392","7707083893","RU000A107S77","СберИОС608","fix","to_maturity","SUR","TQCB","11.8005","291","0","1000","91.5","1","364","0.01","982644","0","2027-02-26",NULL,NULL,"2027-02-26","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","","2026-04-10"
"00ebf439-d56a-4978-bea9-3847e38db063","7744001497","RU000A109EG4","ГПБ004Р12","fix","to_maturity","SUR","TQCB","19.7946","172","242768","1000","91.8","1","365","0.01","395823","0.05","2026-10-31",NULL,NULL,"2026-10-31","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","AAA","2026-04-28"
"00fca8dc-e67f-46be-8627-5ed771e74b15","7710168360","SU26248RMFS3","ОФЗ 26248","fix","to_maturity","SUR","TQOB","14.6798","2279","7.3240083e+08","1000","88.378","1","182","12.25","1e+09","53.36","2026-06-03",NULL,NULL,"2040-05-16","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00",NULL,NULL
"01039f78-1d4e-46fb-bb83-adf11aabe2b9","7727290538","RU000A102D46","ИА ДОМ18P2","fix","to_maturity","SUR","TQCB","12.6855","1185","1844","284.69","80.69","1","89","5.85","1.4018879e+07","3.29","2026-05-28",NULL,NULL,"2051-02-28","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","","2025-07-30"
"019f7848-ac9c-433a-810a-c4fb40ade542","7727620673","RU000A10C6W2","Абрау2P-01","fix","to_maturity","SUR","TQCB","14.2236","239","422845","1000","101.4","1","30","15.5","500000","7.22","2026-05-24",NULL,NULL,"2027-01-19","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","A+","2025-08-19"
"01d80289-d85f-4c2f-a2ee-f1ff5a4c3806","7744001497","RU000A10E5V4","ГПБ004Р38","fix","to_maturity","SUR","TQCB","16.6387","1021","0","1000","65.01","1","365","0.01","1.190197e+06","0.02","2027-02-27",NULL,NULL,"2029-02-26","2026-05-06 22:53:56.141247+00","2026-05-09 23:55:16.844999+00","AAA","2026-04-28"
